"id_producto";"referencia";"categoria_01";"categoria_02";"categoria_03";"categoria_04";"categoria_05";"categoria_06";"categoria_07";"categoria_08";"categoria_09";"categoria_10";"categoria_11";"categoria_12";"categoria_13";"categoria_14";"categoria_15";"categoria_16";"categoria_17";"categoria_18";"categoria_19";"categoria_20";"categoria_21";"categoria_22";"categoria_23";"categoria_24";"categoria_25";"categoria_26";"categoria_27";"categoria_28";"categoria_29";"categoria_30";"categoria_31";"categoria_32";"categoria_33";"categoria_34";"categoria_35";"categoria_36";"categoria_37";"categoria_38";"categoria_39";"categoria_40";"categoria_41";"categoria_42";"categoria_43";"categoria_44";"categoria_45";"categoria_46";"categoria_47";"categoria_48";"categoria_49";"categoria_50"
"20295";"D-212744";"Juguetes XXX|Accesorios para el pene"
"20296";"D-212745";"Juguetes XXX|Accesorios para el pene"
"20427";"D-213045";"Juguetes XXX|Accesorios para el pene"
"20439";"D-213075";"Juguetes XXX|Accesorios para el pene"
"20641";"D-213278";"Juguetes XXX|Accesorios para el pene"
"21315";"D-213961";"Juguetes XXX|Accesorios para el pene"
"22633";"D-215380";"Juguetes XXX|Accesorios para el pene"
"22634";"D-215381";"Juguetes XXX|Accesorios para el pene"
"22635";"D-215383";"Juguetes XXX|Accesorios para el pene"
"22640";"D-215385";"Juguetes XXX|Accesorios para el pene"
"22816";"D-215586";"Juguetes XXX|Accesorios para el pene"
"22829";"D-215599";"Juguetes XXX|Accesorios para el pene"
"22830";"D-215600";"Juguetes XXX|Accesorios para el pene"
"22831";"D-215601";"Juguetes XXX|Accesorios para el pene"
"22832";"D-215602";"Juguetes XXX|Accesorios para el pene"
"22833";"D-215603";"Juguetes XXX|Accesorios para el pene"
"22834";"D-215604";"Juguetes XXX|Accesorios para el pene"
"22835";"D-215605";"Juguetes XXX|Accesorios para el pene"
"22836";"D-215606";"Juguetes XXX|Accesorios para el pene"
"22837";"D-215607";"Juguetes XXX|Accesorios para el pene"
"22841";"D-215611";"Juguetes XXX|Accesorios para el pene"
"22842";"D-215612";"Juguetes XXX|Accesorios para el pene"
"22843";"D-215613";"Juguetes XXX|Accesorios para el pene"
"22859";"D-215629";"Juguetes XXX|Accesorios para el pene"
"22882";"D-215652";"Juguetes XXX|Accesorios para el pene"
"22944";"D-215714";"Juguetes XXX|Accesorios para el pene"
"22945";"D-215715";"Juguetes XXX|Accesorios para el pene"
"22308";"D-216063";"Juguetes XXX|Accesorios para el pene"
"23505";"D-216491";"Juguetes XXX|Accesorios para el pene"
"16754";"PD2016-11";"Juguetes XXX|Accesorios para el pene"
"16755";"PD2016-12";"Juguetes XXX|Accesorios para el pene"
"16757";"PD2016-14";"Juguetes XXX|Accesorios para el pene"
"13310";"PD5802-12";"Juguetes XXX|Accesorios para el pene"
"13311";"PD5803-12";"Juguetes XXX|Accesorios para el pene"
"13313";"PD5805-12";"Juguetes XXX|Accesorios para el pene"
"13318";"PD5812-12";"Juguetes XXX|Accesorios para el pene"
"13319";"PD5814-12";"Juguetes XXX|Accesorios para el pene"
"13320";"PD5815-12";"Juguetes XXX|Accesorios para el pene"
